date,Controller1.dump,Controller1.res_load,Battery1.soc,Controller1.flow2b,PV1.pv_gen,Wind1.wind_gen,Load1.load_dem,Grid1.flag_warning
2012-01-01,-30.88454264905566,30.88454264905566,20,0,0.0,0.14807145094433838,31.0326141,0
2012-01-01 00:15:00,-33.524477082183225,33.524477082183225,20,0,0.0,0.14519821781678,33.6696753,0
2012-01-01 00:30:00,-33.38834709938685,33.38834709938685,20,0,0.0,0.21009710061315715,33.5984442,0
2012-01-01 00:45:00,-33.69469672412615,33.69469672412615,20,0,0.0,0.19933117587384494,33.8940279,0
2012-01-01 01:00:00,-30.47154182386331,30.47154182386331,20,0,0.0,0.22200067613669086,30.6935425,0
2012-01-01 01:15:00,-22.500685836278713,22.500685836278713,20,0,0.0,0.2471398637212858,22.7478257,0
2012-01-01 01:30:00,-19.870440929817807,19.870440929817807,20,0,0.0,0.24958947018219424,20.1200304,0
2012-01-01 01:45:00,-19.606306585289488,19.606306585289488,20,0,0.0,0.22504521471051248,19.8313518,0
2012-01-01 02:00:00,-20.584860587193493,20.584860587193493,20,0,0.0,0.27498161280650735,20.8598422,0
2012-01-01 02:15:00,-15.418741062229982,15.418741062229982,20,0,0.0,0.24470633777001755,15.663447399999999,0
2012-01-01 02:30:00,-16.137564448633412,16.137564448633412,20,0,0.0,0.2553680513665828,16.392932499999997,0
2012-01-01 02:45:00,-16.97082499710521,16.97082499710521,20,0,0.0,0.28025830289479126,17.2510833,0
2012-01-01 03:00:00,-16.544927196205965,16.544927196205965,20,0,0.0,0.2706353037940336,16.8155625,0
2012-01-01 03:15:00,-15.548926781784557,15.548926781784557,20,0,0.0,0.309543818215441,15.858470599999999,0
2012-01-01 03:30:00,-16.235033710815674,16.235033710815674,20,0,0.0,0.3162106891843276,16.5512444,0
2012-01-01 03:45:00,-10.608539434914807,10.608539434914807,20,0,0.0,0.36452216508519425,10.973061600000001,0
2012-01-01 04:00:00,-23.67356653294103,23.67356653294103,20,0,0.0,0.397082667058967,24.0706492,0
2012-01-01 04:15:00,-24.41091558556188,24.41091558556188,20,0,0.0,0.4186751144381196,24.8295907,0
2012-01-01 04:30:00,-27.722546209376617,27.722546209376617,20,0,0.0,0.42565289062338274,28.1481991,0
2012-01-01 04:45:00,-30.762408124245898,30.762408124245898,20,0,0.0,0.5398089757541035,31.3022171,0
2012-01-01 05:00:00,-33.16297295799734,33.16297295799734,20,0,0.0,0.5075903420026552,33.6705633,0
2012-01-01 05:15:00,-32.795712459014055,32.795712459014055,20,0,0.0,0.48174194098594575,33.2774544,0
2012-01-01 05:30:00,-33.361316531520664,33.361316531520664,20,0,0.0,0.574790368479331,33.9361069,0
2012-01-01 05:45:00,-29.8331083,29.8331083,20,0,0.0,0,29.8331083,0
2012-01-01 06:00:00,-24.2220314,24.2220314,20,0,0.0,0,24.2220314,0
2012-01-01 06:15:00,-18.7278412,18.7278412,20,0,0.0,0,18.7278412,0
2012-01-01 06:30:00,-8.584596399999999,8.584596399999999,20,0,0.0,0,8.584596399999999,0
2012-01-01 06:45:00,-12.526951172948587,12.526951172948587,20,0,0.0,0.6187237270514134,13.145674900000001,0
2012-01-01 07:00:00,-6.991314117759504,6.991314117759504,20,0,0.0,0.5921050822404959,7.5834192,0
2012-01-01 07:15:00,-6.833207093501521,6.833207093501521,20,0,0.0,0.5343472064984783,7.367554299999999,0
2012-01-01 07:30:00,-15.118157011292878,15.118157011292878,20,0,0.0,0.5102248887071212,15.628381899999999,0
2012-01-01 07:45:00,-15.860502069152382,15.860502069152382,20,0,0.0,0.48811973084761784,16.3486218,0
2012-01-01 08:00:00,-19.88541968839321,19.88541968839321,20,0,0.0,0.46542021160679126,20.3508399,0
2012-01-01 08:15:00,-49.44036130433887,49.44036130433887,20,0,0.0,0.476679895661131,49.9170412,0
2012-01-01 08:30:00,-51.05227865054676,51.05227865054676,20,0,0.0,0.4754199494532479,51.52769860000001,0
2012-01-01 08:45:00,-44.01840405046262,44.01840405046262,20,0,0.0,0.4163662495373838,44.434770300000004,0
2012-01-01 09:00:00,-23.602559790382102,23.602559790382102,20,0,0.0,0.3278611096178948,23.930420899999998,0
2012-01-01 09:15:00,-29.942604490382106,29.942604490382106,20,0,0.0,0.3278611096178948,30.2704656,0
2012-01-01 09:30:00,-28.56138047711946,28.56138047711946,20,0,0.0,0.33379212288054266,28.895172600000002,0
2012-01-01 09:45:00,-19.43560949704672,19.43560949704672,20,0,0.0,0.3011107029532797,19.7367202,0
2012-01-01 10:00:00,-22.61403254022274,22.61403254022274,20,0,0.0,0.31334185977726076,22.9273744,0
2012-01-01 10:15:00,-22.165343544800002,22.165343544800002,20,0,0.0,0.33081775519999884,22.4961613,0
2012-01-01 10:30:00,-20.869356810346368,20.869356810346368,20,0,0.0,0.2235194896536315,21.0928763,0
2012-01-01 10:45:00,-12.553424492685886,12.553424492685886,20,0,0.0,0.23043990731411357,12.7838644,0
