,Grid_kW,Grid_Energy_kWh,PV_kW,Wind_kW,PV_Energy_kWh,Wind_Energy_kWh,Price_EUR_per_kWh,PV_Cost_EUR,Wind_Cost_EUR,Grid_Cost_EUR,Total_Cost_EUR,Total_Demand_kWh,Cumulative_Grid_Cost_EUR,Cumulative_PV_Cost_EUR,Cumulative_Wind_Cost_EUR,Cumulative_Total_Cost_EUR
2012-02-01 00:00:00,-75.49405061667163,-18.873512654167907,0.0,0.5357091783328374,0.0,0.13392729458320934,0.06952,0.0,1796.8447504558594,-1.3120865997177529,1795.5326638561417,-18.739585359584698,-1.3120865997177529,0.0,1796.8447504558594,1795.5326638561417
2012-02-01 00:15:00,-75.72602803630892,-18.93150700907723,0.0,0.5062764763691073,0.0,0.12656911909227683,0.06397,0.0,1698.1232833720865,-1.2110485033706704,1696.9122348687158,-18.804937889984952,-2.523135103088423,0.0,3494.968033827946,3492.4448987248575
2012-02-01 00:30:00,-30.557985075014333,-7.639496268753583,0.0,0.6053168624985663,0.0,0.15132921562464158,0.05372,0.0,2030.3188198638518,-0.41039373955744246,2029.9084261242942,-7.488167053128942,-2.9335288426458654,0.0,5525.286853691798,5522.353324849151
2012-02-01 00:45:00,-15.0321796660936,-3.7580449165234,0.0,0.5289224033906396,0.0,0.1322306008476599,0.049210000000000004,0.0,1774.0809423662454,-0.1849333903421165,1773.8960089759032,-3.62581431567574,-3.118462232987982,0.0,7299.367796058043,7296.249333825054
2012-02-01 01:00:00,-21.16977911520669,-5.292444778801673,0.0,0.574790368479331,0.0,0.14369759211983274,0.06584999999999999,0.0,1927.9286187122002,-0.3485074886840901,1927.580111223516,-5.14874718668184,-3.466969721672072,0.0,9227.296414770242,9223.82944504857
2012-02-01 01:15:00,-25.422610145442864,-6.355652536360716,0.0,0.5302751454557134,0.0,0.13256878636392835,0.05347,0.0,1778.618231583341,-0.3398367411192075,1778.2783948422218,-6.223083749996787,-3.8068064627912794,0.0,11005.914646353584,11002.107839890792
2012-02-01 01:30:00,-28.92625390845309,-7.231563477113273,0.0,0.4060813691546903,0.0,0.10152034228867257,0.051340000000000004,0.0,1362.0546481848598,-0.37126846891499543,1361.6833797159447,-7.1300431348246,-4.178074931706275,0.0,12367.969294538443,12363.791219606737
2012-02-01 01:45:00,-29.10853530395285,-7.277133825988212,0.0,0.3687566496047152,0.0,0.0921891624011788,0.04858,0.0,1236.8622320415973,-0.35352316126650735,1236.5087088803307,-7.184944663587033,-4.531598092972783,0.0,13604.831526580041,13600.299928487068
2012-02-01 02:00:00,-19.99014032743797,-4.997535081859493,0.0,0.3530447472562032,0.0,0.0882611868140508,0.053630000000000004,0.0,1184.1622776699767,-0.26801780644012463,1183.8942598635365,-4.909273895045442,-4.799615899412908,0.0,14788.993804250018,14784.194188350604
2012-02-01 02:15:00,-18.340962836800276,-4.585240709200069,0.0,0.3020400563199726,0.0,0.07551001407999315,0.05273,0.0,1013.0852924993983,-0.24177974259611965,1012.8435127568022,-4.5097306951200755,-5.041395642009028,0.0,15802.079096749416,15797.037701107407
2012-02-01 02:30:00,-33.66251406423237,-8.415628516058092,0.0,0.3551133635767631,0.0,0.08877834089419077,0.05155,0.0,1191.1007109219004,-0.43382565000279466,1190.6668852718976,-8.326850175163901,-5.475221292011822,0.0,16993.179807671317,16987.704586379303
2012-02-01 02:45:00,-39.52531913357004,-9.88132978339251,0.0,0.3882178966429971,0.0,0.09705447416074928,0.04999,0.0,1302.1380215789106,-0.4939676758717915,1301.6440539030389,-9.78427530923176,-5.969188967883614,0.0,18295.317829250227,18289.34864028234
2012-02-01 03:00:00,-32.78127605331895,-8.195319013329737,0.0,0.3571900446681051,0.0,0.08929751116702628,0.04598,0.0,1198.0661945616646,-0.3768207682329013,1197.6893737934317,-8.10602150216271,-6.346009736116516,0.0,19493.38402381189,19487.038014075773
2012-02-01 03:15:00,-26.524975829914272,-6.631243957478568,0.0,0.4026910970085726,0.0,0.10067277425214315,0.04622,0.0,1350.6831933829721,-0.3064960957146594,1350.3766972872575,-6.530571183226425,-6.652505831831175,0.0,20844.06721719486,20837.41471136303
2012-02-01 03:30:00,-22.16355143779556,-5.54088785944889,0.0,0.3592748062204441,0.0,0.08981870155511103,0.04503,0.0,1205.0587812164804,-0.24950618031098354,1204.8092750361693,-5.451069157893779,-6.902012012142158,0.0,22049.125998411342,22042.2239863992
2012-02-01 03:45:00,-20.433466030306267,-5.108366507576567,0.0,0.3937427369693732,0.0,0.0984356842423433,0.04598,0.0,1320.6691215470876,-0.23488269201837053,1320.4342388550692,-5.009930823334224,-7.136894704160529,0.0,23369.79511995843,23362.65822525427
2012-02-01 04:00:00,-21.500595429914277,-5.375148857478569,0.0,0.4026910970085726,0.0,0.10067277425214315,0.05083,0.0,1350.6831933829721,-0.27321881642563567,1350.4099745665465,-5.274476083226427,-7.410113520586164,0.0,24720.478313341402,24713.068199820817
2012-02-01 04:15:00,-21.40711215624649,-5.351778039061623,0.0,0.2820320843753507,0.0,0.07050802109383768,0.05107,0.0,945.9757098936932,-0.27331530445487706,945.7023945892383,-5.281270017967785,-7.683428825041041,0.0,25666.454023235096,25658.770594410056
2012-02-01 04:30:00,-23.30231641405841,-5.8255791035146025,0.0,0.2732375485941593,0.0,0.06830938714853982,0.052469999999999996,0.0,916.4775864896698,-0.30566813556141115,916.1719183541084,-5.757269716366062,-7.989096960602452,0.0,26582.931609724765,26574.942512764166
2012-02-01 04:45:00,-24.02183544421508,-6.00545886105377,0.0,0.2398873155784914,0.0,0.05997182889462285,0.05875,0.0,804.616163269008,-0.35282070808690896,804.263342560921,-5.945487032159146,-8.34191766868936,0.0,27387.547772993774,27379.205855325086
2012-02-01 05:00:00,-24.025280884970257,-6.006320221242564,0.0,0.2028779115029743,0.0,0.050719477875743574,0.048369999999999996,0.0,680.4813600581585,-0.2905257091015028,680.190834349057,-5.955600743366821,-8.632443377790864,0.0,28068.029133051932,28059.396689674144
