date,Controller1.dump,Grid1.flag_warning
2012-02-01,-80.31543322166716,0
2012-02-01 00:15:00,-80.28251632363089,0
2012-02-01 00:30:00,-36.00583683750143,0
2012-02-01 00:45:00,-19.79248129660936,0
2012-02-01 01:00:00,-26.342892431520667,0
2012-02-01 01:15:00,-30.195086454544285,0
2012-02-01 01:30:00,-32.580986230845305,0
2012-02-01 01:45:00,-32.42734515039529,0
2012-02-01 02:00:00,-23.1675430527438,0
2012-02-01 02:15:00,-21.059323343680024,0
2012-02-01 02:30:00,-36.85853433642324,0
2012-02-01 02:45:00,-43.019280203357006,0
2012-02-01 03:00:00,-35.995986455331895,0
2012-02-01 03:15:00,-30.149195702991427,0
2012-02-01 03:30:00,-25.397024693779557,0
2012-02-01 03:45:00,-23.977150663030628,0
2012-02-01 04:00:00,-25.12481530299143,0
2012-02-01 04:15:00,-23.94540091562465,0
2012-02-01 04:30:00,-25.761454351405842,0
2012-02-01 04:45:00,-26.180821284421505,0
2012-02-01 05:00:00,-25.851182088497026,0
2012-02-01 05:15:00,-23.86814541395738,0
2012-02-01 05:30:00,-25.890794092685883,0
2012-02-01 05:45:00,-26.13490305862731,0
2012-02-01 06:00:00,-26.598279189938804,0
2012-02-01 06:15:00,-24.278439508864594,0
2012-02-01 06:30:00,-26.049694754090634,0
2012-02-01 06:45:00,-7.391923034121725,0
2012-02-01 07:00:00,-11.019614382183219,0
2012-02-01 07:15:00,-18.146653692024053,0
2012-02-01 07:30:00,-24.445209603953124,0
2012-02-01 07:45:00,-28.415309241125748,0
2012-02-01 08:00:00,-24.345482068631945,0
2012-02-01 08:15:00,-22.756592891629797,0
2012-02-01 08:30:00,-12.193911653414794,0
2012-02-01 08:45:00,-7.776404108641602,0
2012-02-01 09:00:00,-11.73587894054657,0
2012-02-01 09:15:00,-13.9639724034227,0
2012-02-01 09:30:00,-13.96593318392299,0
2012-02-01 09:45:00,-13.91814807401122,0
2012-02-01 10:00:00,-11.201094292967936,0
2012-02-01 10:15:00,-8.931526898627375,0
2012-02-01 10:30:00,-22.66673175035169,0
2012-02-01 10:45:00,-52.816656621828486,0
2012-02-01 11:00:00,-53.9024971523314,0
2012-02-01 11:15:00,-41.2998375347836,0
2012-02-01 11:30:00,-17.75018652893403,0
2012-02-01 11:45:00,-16.449485100808573,0
2012-02-01 12:00:00,-10.302999838756385,0
2012-02-01 12:15:00,-14.044398491629796,0
2012-02-01 12:30:00,-13.998397433032926,0
2012-02-01 12:45:00,-31.35684108718338,0
2012-02-01 13:00:00,-19.382944005564312,0
2012-02-01 13:15:00,-33.710296767455176,0
2012-02-01 13:30:00,-61.164686495949404,0
2012-02-01 13:45:00,-75.70216497191389,0
2012-02-01 14:00:00,-78.61829290447527,0
2012-02-01 14:15:00,-40.90924380657473,0
2012-02-01 14:30:00,-36.7747149641513,0
2012-02-01 14:45:00,-40.17873017234776,0
2012-02-01 15:00:00,-37.29403685630605,0
2012-02-01 15:15:00,-39.5935099070007,0
2012-02-01 15:30:00,-66.6361542,0
2012-02-01 15:45:00,-45.5435696,0
2012-02-01 16:00:00,-24.109435100000002,0
2012-02-01 16:15:00,-21.9385005,0
2012-02-01 16:30:00,-21.3159421,0
2012-02-01 16:45:00,-21.5245107,0
2012-02-01 17:00:00,-43.3036214,0
2012-02-01 17:15:00,-41.235618800000005,0
2012-02-01 17:30:00,-39.9840318,0
2012-02-01 17:45:00,-42.26376355053055,0
2012-02-01 18:00:00,-47.23017355551015,0
2012-02-01 18:15:00,-103.62470813938214,1
2012-02-01 18:30:00,-93.32599194795797,0
2012-02-01 18:45:00,-81.85471545737676,0
2012-02-01 19:00:00,-73.86387469578183,0
2012-02-01 19:15:00,-95.78435287741546,0
2012-02-01 19:30:00,-155.91436292116535,1
2012-02-01 19:45:00,-97.20252784925731,0
2012-02-01 20:00:00,-71.0484317,0
2012-02-01 20:15:00,-27.277375,0
2012-02-01 20:30:00,-28.4621014,0
2012-02-01 20:45:00,-25.2428799,0
2012-02-01 21:00:00,-23.1226495,0
2012-02-01 21:15:00,-22.8722749,0
2012-02-01 21:30:00,-19.80657506764072,0
2012-02-01 21:45:00,-19.135236806457165,0
2012-02-01 22:00:00,-21.035028097508338,0
2012-02-01 22:15:00,-17.51367943696301,0
2012-02-01 22:30:00,-8.803795683941608,0
2012-02-01 22:45:00,-10.154271466288577,0
2012-02-01 23:00:00,-8.977619262384632,0
2012-02-01 23:15:00,-5.899152133284834,0
2012-02-01 23:30:00,-11.582110744416488,0
