,Controller1.dump,Grid1.flag_warning,Consumption_kW,Energy_MWh,CO2_Intensity,CO2_emissions_kg,Cumulative_CO2_kg,Cumulative_CO2_tonnes
2012-02-01 00:00:00,-80.31543322166716,0,80.31543322166716,0.02007885830541679,181.548352904835,3.645283653557985,3.645283653557985,0.003645283653557985
2012-02-01 00:15:00,-80.28251632363089,0,80.28251632363089,0.02007062908090772,185.03471139500095,3.7137630595018734,7.3590467130598585,0.007359046713059859
2012-02-01 00:30:00,-36.00583683750143,0,36.00583683750143,0.009001459209375357,187.02439411590325,1.6834924547924437,9.042539167852302,0.009042539167852302
2012-02-01 00:45:00,-19.79248129660936,0,19.79248129660936,0.00494812032415234,184.48480141218005,0.9128529953648163,9.95539216321712,0.009955392163217119
2012-02-01 01:00:00,-26.342892431520667,0,26.342892431520667,0.0065857231078801665,185.41052970358334,1.2210624099131908,11.17645457313031,0.011176454573130311
2012-02-01 01:15:00,-30.195086454544285,0,30.195086454544285,0.007548771613636071,188.20871372617725,1.4207445956151243,12.597199168745435,0.012597199168745436
2012-02-01 01:30:00,-32.580986230845305,0,32.580986230845305,0.008145246557711327,191.60232222668768,1.5606481555664242,14.15784732431186,0.01415784732431186
2012-02-01 01:45:00,-32.42734515039529,0,32.42734515039529,0.008106836287598822,191.75068004517195,1.5544913711619512,15.712338695473811,0.01571233869547381
2012-02-01 02:00:00,-23.1675430527438,0,23.1675430527438,0.005791885763185949,191.61752836515245,1.1098268345150064,16.822165529988816,0.016822165529988817
2012-02-01 02:15:00,-21.059323343680024,0,21.059323343680024,0.005264830835920006,191.91677583525146,1.0104093593477792,17.832574889336595,0.017832574889336594
2012-02-01 02:30:00,-36.85853433642324,0,36.85853433642324,0.00921463358410581,193.08935956240194,1.7792476973571913,19.611822586693787,0.01961182258669379
2012-02-01 02:45:00,-43.019280203357006,0,43.019280203357006,0.010754820050839251,194.654390420467,2.0934729410779305,21.705295527771717,0.021705295527771718
2012-02-01 03:00:00,-35.995986455331895,0,35.995986455331895,0.008998996613832974,195.78982103632546,1.761911936528857,23.467207464300575,0.023467207464300574
2012-02-01 03:15:00,-30.149195702991427,0,30.149195702991427,0.007537298925747857,196.83781785836348,1.4836254730903955,24.95083293739097,0.02495083293739097
2012-02-01 03:30:00,-25.39702469377956,0,25.39702469377956,0.00634925617344489,197.7929399238519,1.2558380448753308,26.206670982266303,0.026206670982266304
