,Controller1.dump,Controller1.res_load,Battery1.soc,Controller1.flow2b,PV1.pv_gen,Wind1.wind_gen,Load1.load_dem,Grid1.flag_warning,Consumption_kW,Energy_MWh,Price_EUR_MWh,Grid_Energy_MWh,Cost_EUR,PV_Energy_MWh,Wind_Energy_MWh,Net_Energy_MWh,Cumulative_Cost_EUR
2012-01-01 00:00:00,-10.88454264905566,30.88454264905566,20.0,-20.0,0.0,0.1480714509443383,31.0326141,0,10.88454264905566,0.002721135662263915,69.52,0.002721135662263915,0.18917335124058737,0,0,0.002721135662263915,0.18917335124058737
2012-01-01 00:15:00,-19.080477082183226,33.524477082183225,17.222,-14.444,0.0,0.14519821781678,33.6696753,0,19.080477082183226,0.004770119270545806,63.97,0.004770119270545806,0.3051445297368152,0,0,0.004770119270545806,0.4943178809774026
2012-01-01 00:30:00,-22.95634709938685,33.38834709938685,15.216,-10.432,0.0,0.2100971006131571,33.5984442,0,22.95634709938685,0.005739086774846713,53.72,0.005739086774846713,0.3083037415447654,0,0,0.005739086774846713,0.8026216225221681
2012-01-01 00:45:00,-26.160696724126154,33.69469672412615,13.767,-7.533999999999999,0.0,0.1993311758738449,33.8940279,0,26.160696724126154,0.006540174181031539,49.21,0.006540174181031539,0.321841971448562,0,0,0.006540174181031539,1.1244635939707301
2012-01-01 01:00:00,-25.02954182386331,30.47154182386331,12.721,-5.442,0.0,0.2220006761366908,30.6935425,0,25.02954182386331,0.0062573854559658275,65.85,0.0062573854559658275,0.4120488322753497,0,0,0.0062573854559658275,1.5365124262460799
2012-01-01 01:15:00,-18.570685836278717,22.500685836278716,11.965,-3.9299999999999993,0.0,0.2471398637212858,22.7478257,0,18.570685836278717,0.004642671459069679,53.47,0.004642671459069679,0.24824364291645573,0,0,0.004642671459069679,1.7847560691625355
2012-01-01 01:30:00,-17.032440929817806,19.870440929817807,11.419,-2.838000000000001,0.0,0.2495894701821942,20.1200304,0,17.032440929817806,0.004258110232454451,51.34,0.004258110232454451,0.21861137933421154,0,0,0.004258110232454451,2.003367448496747
2012-01-01 01:45:00,-17.556306585289487,19.606306585289488,11.025,-2.0500000000000007,0.0,0.2250452147105124,19.8313518,0,17.556306585289487,0.004389076646322372,48.58,0.004389076646322372,0.21322134347834082,0,0,0.004389076646322372,2.216588791975088
2012-01-01 02:00:00,-19.10486058719349,20.584860587193493,10.74,-1.4800000000000004,0.0,0.2749816128065073,20.8598422,0,19.10486058719349,0.004776215146798372,53.63,0.004776215146798372,0.2561484183227967,0,0,0.004776215146798372,2.472737210297885
2012-01-01 02:15:00,-14.35074106222998,15.418741062229982,10.534,-1.0680000000000014,0.0,0.2447063377700175,15.6634474,0,14.35074106222998,0.003587685265557495,52.73,0.003587685265557495,0.1891786440528467,0,0,0.003587685265557495,2.6619158543507315
2012-01-01 02:30:00,-15.365564448633414,16.137564448633412,10.386,-0.7719999999999985,0.0,0.2553680513665828,16.392932499999997,0,15.365564448633414,0.0038413911121583533,51.55,0.0038413911121583533,0.1980237118317631,0,0,0.0038413911121583533,2.8599395661824945
2012-01-01 02:45:00,-16.41282499710521,16.97082499710521,10.279,-0.5579999999999998,0.0,0.2802583028947912,17.2510833,0,16.41282499710521,0.004103206249276303,49.99,0.004103206249276303,0.20511928040132238,0,0,0.004103206249276303,3.065058846583817
2012-01-01 03:00:00,-16.142927196205964,16.544927196205965,10.201,-0.4020000000000011,0.0,0.2706353037940336,16.8155625,0,16.142927196205964,0.004035731799051491,45.98,0.004035731799051491,0.18556294812038754,0,0,0.004035731799051491,3.2506217947042044
2012-01-01 03:15:00,-15.258926781784558,15.548926781784555,10.145,-0.2899999999999991,0.0,0.309543818215441,15.8584706,0,15.258926781784558,0.0038147316954461395,46.22,0.0038147316954461395,0.17631689896352057,0,0,0.0038147316954461395,3.426938693667725
2012-01-01 03:30:00,-16.025033710815674,16.235033710815674,10.105,-0.2100000000000008,0.0,0.3162106891843276,16.5512444,0,16.025033710815674,0.004006258427703919,45.03,0.004006258427703919,0.18040181699950747,0,0,0.004006258427703919,3.6073405106672323
