date,Controller1.dump,Controller1.res_load,Battery1.soc,Controller1.flow2b,PV1.pv_gen,Wind1.wind_gen,Load1.load_dem,Grid1.flag_warning
2012-01-01,-0.0,30.88454264905566,20,-30.88454264905566,0.0,0.14807145094433838,31.0326141,0
2012-01-01 00:15:00,-0.0,33.524477082183225,19.142,-33.524477082183225,0.0,0.14519821781678,33.6696753,0
2012-01-01 00:30:00,-0.0,33.38834709938685,18.211,-33.38834709938685,0.0,0.21009710061315715,33.5984442,0
2012-01-01 00:45:00,-0.0,33.69469672412615,17.284,-33.69469672412615,0.0,0.19933117587384494,33.8940279,0
2012-01-01 01:00:00,-0.0,30.47154182386331,16.348,-30.47154182386331,0.0,0.22200067613669086,30.6935425,0
2012-01-01 01:15:00,-0.0,22.500685836278713,15.502,-22.500685836278713,0.0,0.2471398637212858,22.7478257,0
2012-01-01 01:30:00,-0.0,19.870440929817807,14.877,-19.870440929817807,0.0,0.24958947018219424,20.1200304,0
2012-01-01 01:45:00,-0.0,19.606306585289488,14.325,-19.606306585289488,0.0,0.22504521471051248,19.8313518,0
2012-01-01 02:00:00,-0.0,20.584860587193493,13.78,-20.584860587193493,0.0,0.27498161280650735,20.8598422,0
2012-01-01 02:15:00,-0.0,15.418741062229982,13.208,-15.418741062229982,0.0,0.24470633777001755,15.663447399999999,0
2012-01-01 02:30:00,-0.0,16.137564448633412,12.78,-16.137564448633412,0.0,0.2553680513665828,16.392932499999997,0
2012-01-01 02:45:00,-0.0,16.97082499710521,12.332,-16.97082499710521,0.0,0.28025830289479126,17.2510833,0
2012-01-01 03:00:00,-0.0,16.544927196205965,11.861,-16.544927196205965,0.0,0.2706353037940336,16.8155625,0
2012-01-01 03:15:00,-1.5389267817845589,15.548926781784557,11.401,-14.009999999999998,0.0,0.309543818215441,15.858470599999999,0
2012-01-01 03:30:00,-6.11503371081567,16.235033710815674,11.012,-10.120000000000005,0.0,0.3162106891843276,16.5512444,0
2012-01-01 03:45:00,-3.298539434914808,10.608539434914807,10.731,-7.309999999999999,0.0,0.36452216508519425,10.973061600000001,0
2012-01-01 04:00:00,-18.393566532941026,23.67356653294103,10.528,-5.280000000000005,0.0,0.397082667058967,24.0706492,0
2012-01-01 04:15:00,-20.60091558556188,24.41091558556188,10.381,-3.8100000000000023,0.0,0.4186751144381196,24.8295907,0
2012-01-01 04:30:00,-24.972546209376613,27.722546209376617,10.275,-2.7500000000000036,0.0,0.42565289062338274,28.1481991,0
2012-01-01 04:45:00,-28.7724081242459,30.762408124245898,10.199,-1.9899999999999982,0.0,0.5398089757541035,31.3022171,0
2012-01-01 05:00:00,-31.72297295799734,33.16297295799734,10.144,-1.4400000000000013,0.0,0.5075903420026552,33.6705633,0
2012-01-01 05:15:00,-31.755712459014063,32.795712459014055,10.104,-1.039999999999992,0.0,0.48174194098594575,33.2774544,0
2012-01-01 05:30:00,-32.61131653152067,33.361316531520664,10.075,-0.7499999999999929,0.0,0.574790368479331,33.9361069,0
2012-01-01 05:45:00,-0.0,-270.1668917,10.054,270.1668917,0.0,300,29.8331083,0
2012-01-01 06:00:00,-0.0,-275.7779686,12.304,275.7779686,0.0,300,24.2220314,0
2012-01-01 06:15:00,-0.0,-281.2721588,14.554,281.2721588,0.0,300,18.7278412,0
2012-01-01 06:30:00,-0.0,-291.4154036,16.804,291.4154036,0.0,300,8.584596399999999,0
2012-01-01 06:45:00,-0.0,12.526951172948587,19.054,-12.526951172948587,0.0,0.6187237270514134,13.145674900000001,0
2012-01-01 07:00:00,-0.0,6.991314117759504,18.706,-6.991314117759504,0.0,0.5921050822404959,7.5834192,0
2012-01-01 07:15:00,-0.0,6.833207093501521,18.512,-6.833207093501521,0.0,0.5343472064984783,7.367554299999999,0
2012-01-01 07:30:00,-0.0,15.118157011292878,18.322,-15.118157011292878,0.0,0.5102248887071212,15.628381899999999,0
2012-01-01 07:45:00,-0.0,15.860502069152382,17.902,-15.860502069152382,0.0,0.48811973084761784,16.3486218,0
2012-01-01 08:00:00,-0.0,19.88541968839321,17.461,-19.88541968839321,0.0,0.46542021160679126,20.3508399,0
2012-01-01 08:15:00,-0.0,49.44036130433887,16.909,-49.44036130433887,0.0,0.476679895661131,49.9170412,0
2012-01-01 08:30:00,-0.0,51.05227865054676,15.536,-51.05227865054676,0.0,0.4754199494532479,51.52769860000001,0
2012-01-01 08:45:00,-2.8384040504626213,44.01840405046262,14.118,-41.18,0.0,0.4163662495373838,44.434770300000004,0
2012-01-01 09:00:00,-0.0,23.602559790382102,12.974,-23.602559790382102,0.0,0.3278611096178948,23.930420899999998,0
2012-01-01 09:15:00,-6.068604490382111,29.248604490382107,12.318,-23.179999999999996,0.694,0.3278611096178948,30.2704656,0
2012-01-01 09:30:00,-10.608380477119464,27.34838047711946,11.674,-16.739999999999995,1.213,0.33379212288054266,28.895172600000002,0
2012-01-01 09:45:00,-5.786609497046722,17.87660949704672,11.209,-12.089999999999996,1.559,0.3011107029532797,19.7367202,0
2012-01-01 10:00:00,-12.412032540222746,21.14203254022274,10.873,-8.729999999999993,1.472,0.31334185977726076,22.9273744,0
2012-01-01 10:15:00,-13.787343544799995,20.087343544800003,10.63,-6.300000000000008,2.078,0.33081775519999884,22.4961613,0
2012-01-01 10:30:00,-13.032356810346368,17.58235681034637,10.455,-4.550000000000001,3.287,0.2235194896536315,21.0928763,0
2012-01-01 10:45:00,-5.89142449268588,9.181424492685887,10.329,-3.2900000000000063,3.372,0.23043990731411357,12.7838644,0
