,Controller1.dump,Controller1.res_load,Battery1.soc,Controller1.flow2b,PV1.pv_gen,Wind1.wind_gen,Load1.load_dem,Grid1.flag_warning,Consumption_kW,Energy_MWh,CO2_Intensity,CO2_emissions_kg,Cumulative_CO2_kg,Cumulative_CO2_tonnes
2012-01-01 00:00:00,-0.0,30.88454264905566,20.0,-30.88454264905566,0.0,0.1480714509443383,31.0326141,0,0.0,0.0,181.548352904835,0.0,0.0,0.0
2012-01-01 00:15:00,-0.0,33.524477082183225,19.142,-33.524477082183225,0.0,0.14519821781678,33.6696753,0,0.0,0.0,185.03471139500095,0.0,0.0,0.0
2012-01-01 00:30:00,-0.0,33.38834709938685,18.211,-33.38834709938685,0.0,0.2100971006131571,33.5984442,0,0.0,0.0,187.02439411590325,0.0,0.0,0.0
2012-01-01 00:45:00,-0.0,33.69469672412615,17.284,-33.69469672412615,0.0,0.1993311758738449,33.8940279,0,0.0,0.0,184.48480141218005,0.0,0.0,0.0
2012-01-01 01:00:00,-0.0,30.47154182386331,16.348,-30.47154182386331,0.0,0.2220006761366908,30.6935425,0,0.0,0.0,185.41052970358334,0.0,0.0,0.0
2012-01-01 01:15:00,-0.0,22.500685836278716,15.502,-22.500685836278716,0.0,0.2471398637212858,22.7478257,0,0.0,0.0,188.20871372617725,0.0,0.0,0.0
2012-01-01 01:30:00,-0.0,19.870440929817807,14.877,-19.870440929817807,0.0,0.2495894701821942,20.1200304,0,0.0,0.0,191.60232222668768,0.0,0.0,0.0
2012-01-01 01:45:00,-0.0,19.606306585289488,14.325,-19.606306585289488,0.0,0.2250452147105124,19.8313518,0,0.0,0.0,191.75068004517195,0.0,0.0,0.0
2012-01-01 02:00:00,-0.0,20.584860587193493,13.78,-20.584860587193493,0.0,0.2749816128065073,20.8598422,0,0.0,0.0,191.61752836515245,0.0,0.0,0.0
2012-01-01 02:15:00,-0.0,15.418741062229982,13.208,-15.418741062229982,0.0,0.2447063377700175,15.6634474,0,0.0,0.0,191.91677583525146,0.0,0.0,0.0
2012-01-01 02:30:00,-0.0,16.137564448633412,12.78,-16.137564448633412,0.0,0.2553680513665828,16.392932499999997,0,0.0,0.0,193.08935956240194,0.0,0.0,0.0
2012-01-01 02:45:00,-0.0,16.97082499710521,12.332,-16.97082499710521,0.0,0.2802583028947912,17.2510833,0,0.0,0.0,194.654390420467,0.0,0.0,0.0
