,Controller1.dump,Controller1.res_load,Battery1.soc,Controller1.flow2b,PV1.pv_gen,Wind1.wind_gen,Load1.load_dem,Grid1.flag_warning,Consumption_kW,Energy_MWh,Price_EUR_MWh,Grid_Energy_MWh,Cost_EUR,PV_Energy_MWh,Wind_Energy_MWh,Net_Energy_MWh,Cumulative_Cost_EUR
2012-01-01 00:00:00,-30.88454264905566,30.88454264905566,20,0,0.0,0.1480714509443383,31.0326141,0,30.88454264905566,0.007721135662263915,69.52,0.007721135662263915,0.5367733512405873,0,0,0.007721135662263915,0.5367733512405873
2012-01-01 00:15:00,-33.524477082183225,33.524477082183225,20,0,0.0,0.14519821781678,33.6696753,0,33.524477082183225,0.008381119270545806,63.97,0.008381119270545806,0.5361401997368151,0,0,0.008381119270545806,1.0729135509774026
2012-01-01 00:30:00,-33.38834709938685,33.38834709938685,20,0,0.0,0.2100971006131571,33.5984442,0,33.38834709938685,0.008347086774846713,53.72,0.008347086774846713,0.4484055015447654,0,0,0.008347086774846713,1.521319052522168
2012-01-01 00:45:00,-33.69469672412615,33.69469672412615,20,0,0.0,0.1993311758738449,33.8940279,0,33.69469672412615,0.008423674181031538,49.21,0.008423674181031538,0.414529006448562,0,0,0.008423674181031538,1.93584805897073
2012-01-01 01:00:00,-30.47154182386331,30.47154182386331,20,0,0.0,0.2220006761366908,30.6935425,0,30.47154182386331,0.007617885455965827,65.85,0.007617885455965827,0.5016377572753496,0,0,0.007617885455965827,2.4374858162460797
2012-01-01 01:15:00,-22.500685836278716,22.500685836278716,20,0,0.0,0.2471398637212858,22.7478257,0,22.500685836278716,0.005625171459069679,53.47,0.005625171459069679,0.30077791791645575,0,0,0.005625171459069679,2.7382637341625355
2012-01-01 01:30:00,-19.870440929817807,19.870440929817807,20,0,0.0,0.2495894701821942,20.1200304,0,19.870440929817807,0.004967610232454451,51.34,0.004967610232454451,0.25503710933421153,0,0,0.004967610232454451,2.993300843496747
2012-01-01 01:45:00,-19.606306585289488,19.606306585289488,20,0,0.0,0.2250452147105124,19.8313518,0,19.606306585289488,0.004901576646322372,48.58,0.004901576646322372,0.23811859347834083,0,0,0.004901576646322372,3.231419436975088
2012-01-01 02:00:00,-20.584860587193493,20.584860587193493,20,0,0.0,0.2749816128065073,20.8598422,0,20.584860587193493,0.005146215146798373,53.63,0.005146215146798373,0.2759915183227968,0,0,0.005146215146798373,3.5074109552978845
2012-01-01 02:15:00,-15.418741062229982,15.418741062229982,20,0,0.0,0.2447063377700175,15.6634474,0,15.418741062229982,0.0038546852655574953,52.73,0.0038546852655574953,0.2032575540528467,0,0,0.0038546852655574953,3.710668509350731
2012-01-01 02:30:00,-16.137564448633412,16.137564448633412,20,0,0.0,0.2553680513665828,16.392932499999997,0,16.137564448633412,0.004034391112158353,51.55,0.004034391112158353,0.20797286183176308,0,0,0.004034391112158353,3.918641371182494
2012-01-01 02:45:00,-16.97082499710521,16.97082499710521,20,0,0.0,0.2802583028947912,17.2510833,0,16.97082499710521,0.0042427062492763025,49.99,0.0042427062492763025,0.21209288540132237,0,0,0.0042427062492763025,4.130734256583817
