date,Controller1.dump
2012-02-01,-15.536747115713691
2012-02-01 00:15:00,-14.854553459334957
2012-02-01 00:30:00,-11.536725723300131
2012-02-01 00:45:00,-11.457077463128675
2012-02-01 01:00:00,-8.726688542059382
2012-02-01 01:15:00,-13.46611491119928
2012-02-01 01:30:00,-11.814682166650993
2012-02-01 01:45:00,-11.596356372082493
2012-02-01 02:00:00,-14.381186400785483
2012-02-01 02:15:00,-13.073729125282998
2012-02-01 02:30:00,-9.57051955778332
2012-02-01 02:45:00,-11.69057121458618
2012-02-01 03:00:00,-10.695664409305945
2012-02-01 03:15:00,-10.855405365108941
2012-02-01 03:30:00,-8.95967356044388
2012-02-01 03:45:00,-9.698475321518043
2012-02-01 04:00:00,-9.230084271143918
2012-02-01 04:15:00,-13.077351470508937
2012-02-01 04:30:00,-10.592304251649002
2012-02-01 04:45:00,-11.628027518304508
2012-02-01 05:00:00,-9.337052837455502
2012-02-01 05:15:00,-9.937744438291906
2012-02-01 05:30:00,-7.3617048260942415
2012-02-01 05:45:00,-9.750150590966985
2012-02-01 06:00:00,-10.61829407898035
2012-02-01 06:15:00,-11.72569598031281
2012-02-01 06:30:00,-12.954812836592017
2012-02-01 06:45:00,-12.305316722318857
2012-02-01 07:00:00,-10.572276970136212
2012-02-01 07:15:00,-10.874361101454818
2012-02-01 07:30:00,-13.864243633137756
2012-02-01 07:45:00,-14.061186431240264
2012-02-01 08:00:00,-13.197715737071523
2012-02-01 08:15:00,-13.247212795703385
2012-02-01 08:30:00,-11.097434272812425
2012-02-01 08:45:00,-11.662721356657315
2012-02-01 09:00:00,-13.196046934648004
2012-02-01 09:15:00,-7.463349403544139
2012-02-01 09:30:00,-8.78567386757334
2012-02-01 09:45:00,-10.53706315564952
2012-02-01 10:00:00,-6.119143231191394
2012-02-01 10:15:00,-25.86011747645268
2012-02-01 10:30:00,-14.176685265245387
2012-02-01 10:45:00,-5.644905416499144
2012-02-01 11:00:00,-19.506311296698623
2012-02-01 11:15:00,-14.90894740239919
2012-02-01 11:30:00,-12.810302103655255
2012-02-01 11:45:00,-10.582023531668883
2012-02-01 12:00:00,-4.05192540994686
2012-02-01 12:15:00,-0.7393662512991339
2012-02-01 12:30:00,-5.017016807825397
2012-02-01 12:45:00,-0.0
2012-02-01 13:00:00,-0.0
2012-02-01 13:15:00,-10.334350121413912
2012-02-01 13:30:00,-2.103131617965492
2012-02-01 13:45:00,-7.855190108026667
2012-02-01 14:00:00,-7.586862624413033
2012-02-01 14:15:00,-7.698938503249418
2012-02-01 14:30:00,-4.567294149972077
2012-02-01 14:45:00,-6.744184212903061
2012-02-01 15:00:00,-7.040585899721678
2012-02-01 15:15:00,-2.2784323266102016
2012-02-01 15:30:00,-9.03356428159367
2012-02-01 15:45:00,-8.342867460974128
2012-02-01 16:00:00,-8.860149677880692
2012-02-01 16:15:00,-5.6977299404577915
2012-02-01 16:30:00,-8.389554341043855
2012-02-01 16:45:00,-12.426144171008733
2012-02-01 17:00:00,-9.484862955078942
2012-02-01 17:15:00,-11.283386536799103
2012-02-01 17:30:00,-11.252059037547125
2012-02-01 17:45:00,-9.03441637267616
2012-02-01 18:00:00,-14.976892703386154
2012-02-01 18:15:00,-33.22313527370776
2012-02-01 18:30:00,-30.543147918711128
2012-02-01 18:45:00,-31.26562608113875
2012-02-01 19:00:00,-33.249333983732626
2012-02-01 19:15:00,-33.942552753351734
2012-02-01 19:30:00,-42.42149438348847
2012-02-01 19:45:00,-33.98114861826937
2012-02-01 20:00:00,-29.55614706043012
2012-02-01 20:15:00,-24.78582084091682
2012-02-01 20:30:00,-20.482248917969823
2012-02-01 20:45:00,-16.217449970884513
2012-02-01 21:00:00,-13.009309373360296
2012-02-01 21:15:00,-9.784115292367735
2012-02-01 21:30:00,-13.45101521602919
2012-02-01 21:45:00,-11.140039934025758
2012-02-01 22:00:00,-13.705557337947669
2012-02-01 22:15:00,-12.462805337216023
2012-02-01 22:30:00,-10.26953758982245
2012-02-01 22:45:00,-10.091765857998562
2012-02-01 23:00:00,-10.310421160387047
2012-02-01 23:15:00,-10.896740040860413
2012-02-01 23:30:00,-11.845384088165197
